id,ee_r264_label,ee_r264_name,country_area_km2,tourism_area_km2,percentage_tourism_area
86,GLP,Guadeloupe,1649.09746176216,1479.8967546537724,89.73979943383173
87,GMB,Gambia,33245.182343498,1273.9686299038767,3.832039832842234
88,GNB,Guinea-Bissau,139944.8914432062,20865.211765654054,14.909591590288079
89,GNQ,Equatorial Guinea,335667.4848474359,6933.53923035759,2.0655975163960103
90,GRC,Greece,625228.5647530024,31981.15702204667,5.115114507713012
91,GRD,Grenada,26039.432689803583,68.71595538522534,0.26389190657034883
92,GRL,Greenland,4443284.472884286,1986184.6986541017,44.70082234831123
93,GTM,Guatemala,226653.67740111236,37633.40720338015,16.6039252638199
94,GUF,French Guiana,83300.40048477886,30935.35257797277,37.13709945923425
95,GUM,Guam,972706.1115021578,904596.0204657246,92.99787569636526
96,GUY,Guyana,345747.2392747298,46.63778626133679,0.01348898298050575
97,HKG,Hong Kong,397480.7291223439,433.2124848319634,0.108989556748705
98,HMD,Heard Island and McDonald Island,418507.9039055906,78153.5483753708,18.67433031635195
99,HND,Honduras,331126.3149771352,57068.37295568586,17.23462327650598
100,HRV,Croatia,112226.93821830067,11183.538754242934,9.965110811888168
101,HTI,Haiti,27467.749234794388,2387.8475705648216,8.693277159892114
102,HUN,Hungary,93043.11473490034,8006.759698258857,8.60542955926596
103,IDN,Indonesia,8130376.788824632,389143.5129143388,4.786291250969136
104,IMN,Isle of Man,597.2184051348511,84.27049083187322,14.110497953063764
105,IND,India,5268544.638085726,20785.50014551858,0.39452071821243584
106,IOT,British Indian Ocean Territory,639686.9520159214,0.0,0.0
107,IRL,Ireland,498809.59673533845,6043.43633462428,1.2115717849411876
108,IRN,Iran,1841978.9454839672,171376.02620196718,9.303907985600743
109,IRQ,Iraq,436963.60040715773,23379.2166703587,5.350380820867965
110,ISL,Iceland,859925.5173825881,39304.56147321713,4.570693702967556
111,ISR,Israel,50020.077138164284,5053.221833268909,10.102387126095424
112,ITA,Italy,839760.9888080799,82075.74831125277,9.773703399552712
113,JAM,Jamaica,275204.872644031,4276.3055481531355,1.5538625850147663
114,JEY,Jersey,3195.774622835893,376.09477332712817,11.768501152731043
115,JOR,Jordan,89297.19896217727,5780.105598295627,6.472885673316416
116,JPN,Japan,4840264.324710578,312065.4487684035,6.447281136595022
117,KAZ,Kazakhstan,2841489.0708720144,92624.79181029068,3.2597271888103867
118,KEN,Kenya,697491.3668607229,64590.594691591745,9.260414932775703
119,KGZ,Kyrgyzstan,197448.88161198804,20472.99767412335,10.36875848927591
120,KHM,Cambodia,228821.59237950182,70538.77124446431,30.826973324910433
121,KIR,Kiribati,1647761.1151740276,2648.123176124926,0.16071038160438963
122,KNA,Saint Kitts and Nevis,10380.037709844597,522.8382391970117,5.03695895729881
123,KOR,South Korea,424609.1868270177,30881.890692835736,7.2730151986600236
124,KWT,Kuwait,29263.5524712871,509.69615447404254,1.7417439491468019
125,LAO,Laos,229875.72083346744,49187.92184604358,21.397615053778374
126,LBN,Lebanon,29629.980230143934,730.7852401800766,2.4663710016134783
127,LBR,Liberia,342511.38023676944,10069.247457284035,2.9398285833082154
128,LBY,Libya,1973116.1154743242,660.6106975025223,0.03348057888340321
129,LCA,Saint Lucia,15831.586913916874,269.93504002930626,1.705040950708598
130,LIE,Liechtenstein,159.22732902451725,63.994595557351985,40.19071094730122
131,LKA,Sri Lanka,598562.048156606,7164.527884050636,1.196956590568223
132,LSO,Lesotho,30544.76007053675,233.46968539466383,0.7643526577243176
133,LTU,Lithuania,71012.92317076857,10256.627911475649,14.443325881418778
134,LUX,Luxembourg,2582.1932279278735,1127.8092231039416,43.67640697473953
135,LVA,Latvia,93788.09670400023,18287.629195968835,19.498880816065046
136,MAC,Macao,38.9533929623591,0.0,0.0
137,MAF,Saint-Martin,5476.5147018085645,5339.435373483039,97.4969604613632
138,MAR,Morocco,942009.0678830845,143633.96178493914,15.247619867154608
139,MCO,Monaco,369.61100883746724,368.01844686129203,99.56912485340081
140,MDA,Moldova,33905.98526540134,24.741426050690002,0.07297067422469766
141,MDG,Madagascar,1793831.6019216795,95666.69111889477,5.3330920815760985
142,MDV,Maldives,918367.0836906196,6.7862809553520815,0.0007389508047348799
143,MEX,Mexico,5229233.9100673655,1068242.5388652617,20.42827988261669
144,MHL,Marshall Islands,1993816.5980730082,7471.642246657684,0.3747406985115334
145,MKD,North Macedonia,24912.96049408069,2961.1655282430456,11.886044330004928
146,MLI,Mali,1251201.1400788098,51662.35306924035,4.129020619817073
147,MLT,Malta,56542.91287259474,4.4751944553595004,0.007914686789205976
148,MMR,Myanmar,1181517.9687520904,48290.717748327144,4.087175906375035
149,MNE,Montenegro,20942.169064018293,2018.7630258499482,9.63970360318826
150,MNG,Mongolia,1566257.5189287018,256831.54795371136,16.397785475876315
151,MNP,Northern Mariana Islands,682.4661171514358,115.64324845572706,16.94490694108209
152,MOZ,Mozambique,1360071.0813103397,131013.5102652502,9.632842876052274
153,MRT,Mauritania,1232042.9460083274,36666.79936726143,2.9760975042353435
154,MSR,Montserrat,7856.545651706062,88.97744334963053,1.1325262691028715
155,MTQ,Martinique,1116.2953232346872,825.2988921341802,73.93194927509978
156,MUS,Mauritius,1277032.8690878155,126.41281561693013,0.009898947683878083
157,MWI,Malawi,117926.72025797027,9691.03018402222,8.217840844570793
158,MYS,Malaysia,779272.8313059496,39739.77364445393,5.0995969637303755
159,MYT,Mayotte,391.25382962640583,57.307896799409264,14.647242393545518
160,NAM,Namibia,1385146.9104297687,237823.68189201737,17.169563755387358
161,NCL,New Caledonia,1389365.4606572476,1320201.799396762,95.02192452461232
162,NER,Niger,1183668.7432421756,290391.07976939256,24.533137453134497
163,NFK,Norfolk Island,432128.8176594603,188588.56731167505,43.64174746158506
164,NGA,Nigeria,1124870.7890167607,35069.741007471646,3.117668389106787
165,NIC,Nicaragua,352179.734640908,101155.6449485236,28.722733024847276
166,NIU,Niue,317340.0861773242,128631.60133928258,40.53430592043309
167,NLD,Netherlands,99932.09618828127,35756.5715885071,35.780868161855054
168,NOR,Norway,1866208.7505810633,227255.46221637056,12.177387023054749
169,NPL,Nepal,147662.4752339323,29444.88866312634,19.94067119386877
170,NRU,Nauru,309078.50446986937,0.0,0.0
171,NZL,New Zealand,4699299.496408985,117014.26807968986,2.490036401576606
172,OMN,Oman,846045.352398356,159973.8670658392,18.908426907889492
173,PAK,Pakistan,1015335.4566728497,39369.49945321405,3.8774869127710625
174,PAN,Panama,407513.1152536078,39198.567577368,9.61897080366936
175,PCN,Pitcairn Islands,837426.050854381,837295.1779777334,99.98437200795054
176,PER,Peru,2127110.437079124,218667.59907519087,10.280030376582506
177,PHL,Philippines,2123097.1355836624,62071.904098599385,2.923648808067142
178,PLW,Palau,606502.2498082104,503945.1267586211,83.09039693059339
179,PNG,Papua New Guinea,2862501.2783008832,10301.419055597149,0.35987474079703613
180,POL,Poland,343687.65076397976,113735.09065974886,33.092574146009696
181,PRI,Puerto Rico,184597.94008468566,3786.205673585859,2.0510552132103474
182,PRK,North Korea,238596.91390777015,11.2807423092105,0.004727949798030951
183,PRT,Portugal,1817264.5934896546,54236.195217438246,2.98449633651254
184,PRY,Paraguay,399282.79817231407,118275.94521972016,29.622098863542107
185,PSE,Palestine,6220.090527918729,685.677102124087,11.023587181672703
186,PYF,French Polynesia,4781504.1841943525,982.3984831926833,0.020545804109930108
187,QAT,Qatar,43710.56269131202,3394.569226219415,7.7660158488285145
188,REU,Reunion,2512.425124295949,2121.5761624462484,84.44335880619617
189,ROU,Romania,267398.7374093301,20997.084021728657,7.852349725042504
190,RUS,Russia,24631341.319249794,829689.1124026179,3.3684284653804153
191,RWA,Rwanda,25279.76511355433,2477.5464272382633,9.800512054243216
192,SAU,Saudi Arabia,2146013.623547342,60192.72197493413,2.8048620621259657
193,SDN,Sudan,1939150.3923332042,11172.648763685373,0.5761620557053512
194,SEN,Senegal,354699.49607352895,37681.03251368318,10.62336792998204
195,SGP,Singapore,1433.504870930527,33.35523183132819,2.3268307284980763
